h,u,v
2612,12.463553183080839,3.516464070769771
2618,12.899884619645986,3.829127315495142
2623,13.098880106819836,3.878974032795344
2628,13.53340213884469,3.942314626392283
2633,12.065894586987175,3.907781725610737
2637,12.5362386666072,3.6400499098708874
2642,12.218013819745268,4.178385135133705
2646,13.3370070762955,4.341679966999331
2651,13.500557782773223,4.592472532910946
2656,13.497659119860453,4.5696889897307145
2661,12.96216208034708,4.314313697691824
2666,13.296356906690798,4.704235925350035
2672,13.494618111880843,4.892431195943391
2678,13.462119648078437,4.969355188188614
2684,12.634857925003335,4.370739085428765
2690,12.200409663328305,4.853118102955623
2696,13.485643285290339,5.081144481595818
2700,12.480107694773025,4.642484014159236
