height,u,v
1.129000000000000000e+03,1.137734069145174409e+01,1.355898664320591251e+01
1.133000000000000000e+03,1.154663891023292699e+01,1.328288861192079118e+01
1.137000000000000000e+03,1.154663891023292699e+01,1.328288861192079118e+01
1.141000000000000000e+03,1.154663891023292699e+01,1.328288861192079118e+01
1.145000000000000000e+03,1.177669867191590569e+01,1.307934892840214047e+01
1.149000000000000000e+03,1.177669867191590569e+01,1.307934892840214047e+01
1.153000000000000000e+03,1.177669867191590569e+01,1.307934892840214047e+01
1.158000000000000000e+03,1.193497130109372151e+01,1.279868977833548627e+01
1.161000000000000000e+03,1.193497130109372151e+01,1.279868977833548627e+01
1.165000000000000000e+03,1.193497130109372151e+01,1.279868977833548627e+01
1.169000000000000000e+03,1.193497130109372151e+01,1.279868977833548627e+01
1.173000000000000000e+03,1.215652148303245461e+01,1.258844650592639347e+01
1.179000000000000000e+03,1.215652148303245461e+01,1.258844650592639347e+01
1.184000000000000000e+03,1.215652148303245461e+01,1.258844650592639347e+01
1.190000000000000000e+03,1.215652148303245461e+01,1.258844650592639347e+01
1.195000000000000000e+03,1.237436867076458036e+01,1.237436867076458391e+01
1.200000000000000000e+03,1.237436867076458036e+01,1.237436867076458391e+01
1.206000000000000000e+03,1.237436867076458036e+01,1.237436867076458391e+01
1.211000000000000000e+03,1.237436867076458036e+01,1.237436867076458391e+01
1.217000000000000000e+03,1.230365799264592397e+01,1.230365799264592930e+01
1.222000000000000000e+03,1.230365799264592397e+01,1.230365799264592930e+01
1.227000000000000000e+03,1.230365799264592397e+01,1.230365799264592930e+01
1.233000000000000000e+03,1.244457854585866663e+01,1.201758980894065232e+01
1.238000000000000000e+03,1.244457854585866663e+01,1.201758980894065232e+01
1.243000000000000000e+03,1.237264456582479966e+01,1.194812397189475206e+01
1.248000000000000000e+03,1.230071058579093624e+01,1.187865813484885358e+01
1.252000000000000000e+03,1.222877660575707104e+01,1.180919229780295332e+01
1.256000000000000000e+03,1.215684262572320407e+01,1.173972646075705306e+01
1.260000000000000000e+03,1.208490864568934064e+01,1.167026062371115458e+01
1.264000000000000000e+03,1.221360681704014617e+01,1.138937261304372583e+01
1.268000000000000000e+03,1.214047144687823021e+01,1.132117277703747682e+01
1.272000000000000000e+03,1.206733607671631248e+01,1.125297294103122603e+01
