geopotential height_m,wind direction_degree,wind speed_m/s
5684,252,27.1
5690,252,27.1
5696,253,27.1
5701,253,27.1
5707,253,27.2
5712,253,27.2
5717,253,27.2
5722,253,27.2
5726,253,27.2
5730,253,27.3
5734,253,27.3
5738,253,27.3
5741,253,27.3
5745,253,27.4
5748,253,27.4
5752,253,27.4
5757,253,27.4
5761,254,27.4
5765,254,27.4
5769,254,27.5
5773,254,27.5
5778,253,27.5
5783,253,27.5
5788,253,27.5
5792,253,27.5
5796,253,27.5
5801,253,27.5
5806,253,27.6
5811,253,27.6
5816,253,27.6
5821,253,27.6
5827,253,27.6
5833,253,27.6
5835,253,27.6
5839,253,27.6
5845,253,27.6
5851,253,27.6
5857,253,27.7
5862,253,27.7
5867,253,27.7
5872,253,27.7
5877,253,27.7
5883,253,27.7
5890,253,27.7
5896,253,27.7
5902,253,27.7
5908,253,27.7
5913,253,27.7
5918,253,27.7
5923,253,27.7
5928,253,27.7
5933,253,27.7
5938,253,27.7
5943,254,27.7
5947,254,27.8
5952,254,27.8
5957,254,27.8
5962,254,27.8
5968,254,27.8
5974,255,27.9
5980,255,27.9
5987,255,27.9
5994,255,27.9
6000,255,28
6006,255,28
6011,255,28
6015,255,28.1
6020,255,28.1
6025,255,28.2
6031,255,28.2
6037,254,28.2
6044,254,28.3
6051,254,28.3
6057,254,28.4
6064,254,28.4
6070,253,28.5
6076,253,28.5
6082,253,28.6
6088,252,28.6
6093,252,28.7
6098,252,28.7
6104,252,28.8
6108,251,28.8
6113,251,28.9
6118,251,28.9
6122,250,28.9
6126,250,29
6130,250,29
6134,250,29
6138,250,29.1
6143,249,29.1
6148,249,29.1
6152,249,29.1
6157,249,29.1
6161,249,29.1
6165,249,29.1
6169,249,29.1
6173,249,29.1
6176,249,29.1
6180,249,29
6184,248,29
6189,248,29
6193,248,28.9
6197,248,28.9
6201,248,28.9
6205,248,28.9
6208,248,28.9
6211,248,28.8
6215,248,28.8
6218,248,28.8
6222,248,28.8
6226,248,28.8
6230,248,28.8
6234,248,28.8
6237,248,28.8
6241,248,28.8
6245,248,28.8
6249,248,28.8
6253,248,28.8
6256,248,28.8
6260,248,28.8
6264,248,28.8
6268,248,28.8
6272,248,28.8
6277,248,28.8
6281,248,28.8
6286,248,28.8
6291,248,28.8
6296,248,28.7
6300,248,28.7
6305,248,28.7
6310,248,28.6
6315,248,28.6
6319,248,28.5
6324,248,28.4
6329,248,28.4
6334,248,28.3
6340,248,28.2
6346,248,28.2
6351,248,28.1
6357,248,28
6363,248,27.9
6368,248,27.9
6374,247,27.8
6380,247,27.7
6385,247,27.6
6390,247,27.5
6394,247,27.5
6399,247,27.4
6403,247,27.3
6408,247,27.3
6412,247,27.2
6417,247,27.2
6422,246,27.1
6427,246,27.1
6432,246,27.1
6437,246,27
6443,245,27
6448,245,27
6454,245,27
6460,245,26.9
6466,244,26.9
6472,244,26.9
6477,244,26.9
6483,243,26.9
6489,243,26.9
6495,243,26.9
6500,243,26.9
6506,242,26.9
6512,242,26.9
6517,242,26.9
6522,242,26.8
6527,241,26.8
6532,241,26.8
6538,241,26.8
6543,241,26.7
6549,241,26.7
6554,240,26.7
6559,240,26.6
6564,240,26.6
6570,240,26.5
6574,240,26.5
6579,240,26.4
6584,240,26.4
6590,240,26.3
6595,240,26.3
6601,240,26.2
6606,240,26.2
6612,240,26.1
6617,240,26.1
6622,239,26.1
6628,239,26.1
6633,239,26
6638,239,26
6643,239,26
6648,239,26.1
6653,239,26.1
6657,239,26.1
6662,239,26.1
6667,239,26.2
6672,239,26.2
6677,239,26.2
6683,239,26.3
6688,239,26.3
6694,238,26.4
6700,238,26.4
6707,238,26.5
6713,238,26.5
6719,238,26.6
6725,238,26.6
6730,238,26.7
6734,238,26.7
6739,238,26.7
6743,238,26.8
6747,238,26.8
6750,238,26.8
6754,238,26.8
6759,238,26.8
6764,238,26.8
6769,238,26.8
6775,238,26.8
6781,238,26.8
6787,238,26.8
6792,238,26.8
6798,237,26.7
6804,237,26.7
6809,237,26.7
6815,237,26.7
