h,theta,speed
3797,274,10.2
3800,273,10.2
3804,273,10.2
3808,272,10.2
3812,272,10.2
3817,271,10.1
3823,271,10.1
3829,271,10.1
3835,270,10.1
3841,270,10.1
3846,270,10.1
3851,269,10.1
3855,269,10.1
3859,269,10
3863,269,10
3867,269,10
3871,269,10
3875,269,10
3879,269,10
3883,270,10
3887,270,10
3891,270,10
3896,271,10
3901,271,10
3906,272,10.1
3912,272,10.1
3918,273,10.1
3924,273,10.1
3931,273,10.1
3936,274,10.1
3940,274,10.1
3944,275,10.2
3948,275,10.2
3951,275,10.2
3955,275,10.2
3958,276,10.2
3961,276,10.2
3964,276,10.2
3968,276,10.2
3971,276,10.2
3975,276,10.2
3979,276,10.2
3983,276,10.1
3986,276,10.1
3990,277,10.1
3993,277,10.1
3996,277,10.1
4000,277,10.1
4004,277,10.1
4008,277,10.1
4013,277,10.1
4018,277,10
4023,277,10
4028,278,10
4032,278,10
4037,278,10
4042,278,10
4047,278,10
4053,278,10
4059,278,10
4064,278,10
4069,278,10
4073,278,10
4077,278,10
4081,278,10
4086,278,10
4091,278,10
4096,278,10
4102,278,10
4108,278,10
4113,278,10
4118,278,10
4123,277,10
4127,277,10
4131,277,10
4136,277,10
4140,277,10
4145,276,10.1
4150,276,10.1
4155,276,10.1
4160,276,10.1
4165,276,10.1
4170,275,10.1
4176,275,10.1
4183,275,10.1
4189,275,10.1
4195,275,10.1
4200,275,10.1
4205,275,10.1
4210,275,10.1
4214,275,10
4219,275,10
4224,276,10
4229,276,9.9
4234,276,9.9
4239,276,9.8
4243,276,9.8
4247,276,9.7
4252,276,9.7
4256,277,9.6
4261,277,9.6
4266,277,9.6
4271,277,9.5
4276,277,9.5
4281,277,9.5
4286,278,9.5
4293,278,9.4
4300,278,9.4
4306,278,9.4
4312,278,9.4
4318,278,9.4
4324,278,9.4
4330,278,9.4
4336,278,9.4
4342,278,9.4
4347,278,9.4
4352,278,9.4
4356,277,9.4
4360,277,9.4
4364,277,9.4
4368,277,9.3
4372,277,9.3
4376,277,9.3
4380,276,9.2
4385,276,9.2
4389,276,9.2
4393,276,9.1
4397,275,9.1
4401,275,9
4405,275,9
4410,275,9
4414,274,8.9
4418,274,8.9
4422,274,8.9
4427,274,8.9
4431,274,8.8
4436,274,8.8
4441,273,8.8
4446,273,8.9
4452,273,8.9
4458,273,8.9
4464,273,8.9
4470,273,9
4475,273,9
4480,272,9.1
4485,272,9.1
4490,272,9.2
4495,272,9.3
4499,272,9.3
4503,272,9.4
4508,272,9.5
4512,272,9.6
4517,272,9.6
4522,272,9.7
4528,271,9.8
4535,271,9.8
4541,271,9.9
4547,271,9.9
4551,271,10
4555,271,10
4558,271,10.1
4562,270,10.1
4565,270,10.1
4569,270,10.1
4573,270,10.1
4576,269,10.1
4580,269,10.1
4584,269,10.1
4587,269,10.1
4591,268,10.1
4594,268,10.1
4598,268,10.1
4602,267,10
4605,267,10
4609,267,10
4613,267,9.9
4617,266,9.9
4621,266,9.9
4625,266,9.9
4629,266,9.8
4634,266,9.8
4639,266,9.8
4644,266,9.8
4649,266,9.8
4654,265,9.8
4658,266,9.8
4662,266,9.8
4666,266,9.8
4670,266,9.8
4674,266,9.8
4678,266,9.8
4682,266,9.8
4687,266,9.8
4691,266,9.8
4696,266,9.8
4701,266,9.8
4706,266,9.7
4710,266,9.7
4715,266,9.7
4719,266,9.6
4723,266,9.6
4727,266,9.5
4732,266,9.4
4738,266,9.4
4744,265,9.3
4750,265,9.2
4755,265,9.1
4761,264,9.1
4766,264,9
