h,u,v
1596,15.16447450151136,-9.394188750881801
1601,17.29870471984995,-9.232826750800292
1606,17.97456749314685,-9.038381970211837
1611,14.173968668166342,-9.460605678642553
1615,14.608095939818256,-8.627768157867536
1619,18.151950660687895,-8.876266408823831
1623,17.717353331222853,-9.478187946611554
1627,17.818508773003302,-10.152488778314204
1631,15.189630652221828,-8.805138965068332
1636,17.126825064144718,-9.646645762264853
1642,16.261434401218562,-10.505892285271399
1647,16.333152700502076,-8.953797162352938
1652,16.460437266692587,-9.574202595194535
1658,15.39852594313924,-8.222161102622382
1662,17.107087684867828,-8.479704634174258
1666,16.945606644849985,-10.0011881547608
1670,17.065035544304788,-9.838518907552789
1673,17.35930271164994,-8.359322193814572
1676,17.252093868798553,-8.561147034660605
1680,18.066108355399138,-8.054901308099055
1683,18.76927725337686,-8.858205317177514
1686,17.175506807351105,-10.355373760716608
1690,15.847302346550508,-10.244231719743821
1693,17.068216081128853,-7.766094410622112
1697,17.698132438132337,-8.075450034907925
1700,18.097917034414863,-11.714095348023447
1704,15.886732617840854,-8.427806124916454
1707,16.014080295670734,-10.456432790804685
1712,16.72634777270564,-10.022304760065685
1717,16.787827573590693,-10.97268917044551
1723,15.427445223396509,-9.083793067653264
1728,16.434963199319114,-8.760718208639405
1734,15.71391582842775,-9.299039074115512
1739,17.892856130335698,-11.532419559707984
1743,17.1902984681419,-9.481296959245483
1747,16.867224861852446,-8.57738620239579
1751,16.02552974606771,-10.236190712205133
1755,15.317442346853724,-9.186784298018269
1758,15.510954343572108,-7.832961377256033
1762,16.89222859260771,-11.104391061914587
1766,18.837698405002975,-8.820386672997913
1771,15.22895025390972,-8.180838454113893
1775,15.499468022239396,-7.6856325622486095
1780,15.912345394061449,-8.642495037909573
1785,16.070830171288364,-9.467844593655549
1790,16.816415193247227,-10.037310022065444
1794,14.791876754523498,-8.49264814560677
1799,13.94499495008083,-9.019831521266884
1804,15.045649346389126,-7.722201622057392
1808,15.967254696163904,-10.261352188260563
1812,15.083619172743905,-10.395523909032622
1816,15.325668022530685,-9.270174161715088
1821,15.341670173845742,-8.819394457955177
1825,16.977139092577847,-9.270528053411164
1830,13.684095751528591,-9.276905998906823
1835,13.28703189244306,-9.069031315017263
1840,15.183390166326891,-9.673488246784899
1845,16.604918774089203,-9.108395843752364
1850,14.109906938308747,-8.154610300704453
1855,17.026137027054634,-8.416238257119073
1860,15.49296487437824,-10.959250793692947
1866,14.509696427016545,-9.877909109320662
1871,13.212523995191326,-8.970527174598464
1876,13.127460485852913,-8.785954003133458
1882,15.123491316968469,-9.125651230993277
1886,16.139494554260036,-9.887755657309238
1891,13.589697635683859,-8.463509206745764
1895,15.80072849035105,-10.044057502195873
1898,13.77307455130089,-9.72044330249972
1902,13.491072356831145,-9.014530149177745
1905,13.043397910160126,-8.615594578284256
1908,14.484412391650947,-10.002068446784104
1911,16.558287388289354,-9.20868253202087
1915,13.182171467650218,-8.113970555869914
1918,14.734481974888794,-10.439238766251478
1922,13.202150783225665,-7.924411919228307
1926,14.35351116854061,-10.147565725485837
1930,14.48534231087632,-8.984181182007728
