h,theta,speed
4630,246,16.1
4634,246,16.1
4637,246,16.1
4641,246,16.2
4645,246,16.2
4648,246,16.2
4652,246,16.3
4657,246,16.3
4661,246,16.3
4665,246,16.4
4669,246,16.4
4673,246,16.4
4678,246,16.4
4682,245,16.5
4687,245,16.5
4692,245,16.5
4697,245,16.6
4702,245,16.6
4706,245,16.6
4710,245,16.6
4714,245,16.7
4718,245,16.7
4722,244,16.7
4727,244,16.8
4732,244,16.8
4738,244,16.8
4743,244,16.8
4749,244,16.8
4755,243,16.9
4761,243,16.9
4766,243,16.9
4771,243,16.9
4776,243,16.9
4781,242,17
4786,242,17
4792,242,17
4797,241,17
4802,241,17.1
4807,241,17.1
4812,240,17.1
4818,240,17.1
4824,240,17.1
4829,240,17.2
4833,239,17.2
4837,239,17.2
4839,239,17.2
4842,239,17.2
4846,239,17.2
4849,238,17.2
4853,238,17.2
4857,238,17.2
4861,238,17.2
4864,238,17.2
4868,238,17.2
4871,238,17.1
4874,238,17.1
4877,238,17.1
4880,238,17.1
4883,238,17.1
4886,238,17
4889,238,17
4892,238,17
4896,238,17
4899,238,17
4903,238,17
4908,238,17
4912,238,17
4916,238,17
4920,238,17
4925,238,17
4930,237,17
4934,237,17
4939,237,17
4944,237,17
4949,237,17
4954,237,17
4959,237,17
4964,237,17
4968,236,17
4972,236,17
4976,236,17
4981,236,17
4985,236,17
4990,237,17
4994,237,17
4999,237,16.9
5004,237,16.9
5009,237,16.9
5014,237,16.8
5020,238,16.8
5025,238,16.8
5031,238,16.7
5036,239,16.7
5043,239,16.7
5049,239,16.6
5055,240,16.6
5062,240,16.6
5067,240,16.6
5072,241,16.6
5076,241,16.6
5080,241,16.6
5084,242,16.6
5088,242,16.6
5092,242,16.6
5095,242,16.6
5099,243,16.6
5103,243,16.6
5106,243,16.7
5110,243,16.7
5114,243,16.7
5118,243,16.7
5122,244,16.7
5125,244,16.7
5129,244,16.7
5133,244,16.7
5138,244,16.7
5142,244,16.7
5147,244,16.7
5151,244,16.6
5156,244,16.6
5160,243,16.6
5164,243,16.5
5168,243,16.4
5173,243,16.4
5178,243,16.3
5184,243,16.2
5190,243,16.2
5196,243,16.1
5202,243,16
5208,242,15.9
5213,242,15.9
5217,242,15.8
5221,242,15.7
5225,242,15.7
5229,242,15.6
5234,242,15.5
5239,242,15.5
5244,242,15.5
5249,242,15.4
5255,242,15.4
5260,241,15.4
5265,241,15.4
5270,242,15.4
5274,242,15.4
5278,242,15.4
5282,242,15.4
5286,242,15.4
5290,242,15.4
5294,242,15.4
5298,242,15.4
5303,242,15.4
5307,242,15.4
5311,242,15.4
5315,242,15.5
5319,242,15.5
5322,242,15.5
5326,242,15.5
5329,242,15.5
5332,242,15.5
5335,242,15.5
5338,242,15.5
5341,242,15.5
5344,242,15.5
5348,242,15.5
5351,242,15.5
5355,242,15.5
5358,242,15.5
5361,242,15.5
5365,242,15.5
5368,242,15.5
5371,242,15.4
5375,242,15.4
5378,242,15.4
5381,242,15.4
5384,241,15.4
5387,241,15.4
5391,241,15.3
5394,241,15.3
5397,241,15.3
5400,241,15.3
5403,241,15.3
5406,241,15.3
5409,241,15.2
5412,241,15.2
5415,241,15.2
5418,241,15.2
5421,241,15.2
5424,241,15.2
5428,241,15.2
5432,241,15.3
5435,241,15.3
5439,241,15.3
5442,241,15.3
5446,241,15.3
5449,241,15.3
5452,241,15.4
5455,241,15.4
5459,241,15.4
5462,240,15.4
5466,240,15.5
5470,240,15.5
5474,240,15.5
5477,240,15.5
5481,240,15.6
5484,240,15.6
5488,240,15.6
5492,240,15.7
5495,240,15.7
5498,240,15.7
5502,240,15.8
5505,240,15.8
5509,240,15.8
5512,240,15.9
5516,240,15.9
5519,240,16
5523,240,16
5527,240,16.1
5531,240,16.1
5534,240,16.2
5538,240,16.2
5542,240,16.3
5546,240,16.3
5550,240,16.4
5554,240,16.4
5559,240,16.5
5563,240,16.6
5568,240,16.6
5572,240,16.7
5575,240,16.7
5576,240,16.7
5581,240,16.8
5587,240,16.8
5592,240,16.9
5597,241,16.9
5602,241,17
5606,241,17
5611,241,17
5615,241,17
5620,241,17
5624,241,17
5629,241,17
5634,241,17
5640,241,17
5646,241,17
5653,241,17
5660,241,17
5666,242,16.9
5672,242,16.9
5677,242,16.8
5681,242,16.8
5685,242,16.7
5688,242,16.7
5691,242,16.6
5695,242,16.6
5698,242,16.5
5702,242,16.5
5706,242,16.4
5710,242,16.4
5713,242,16.3
5717,242,16.3
5720,242,16.3
5724,242,16.2
5727,242,16.2
5731,242,16.2
5734,242,16.2
5737,242,16.2
5740,242,16.1
5743,242,16.2
5747,241,16.2
5750,241,16.2
5753,241,16.2
5756,241,16.2
5758,241,16.3
5762,241,16.3
5765,241,16.3
5768,240,16.4
5772,240,16.4
5775,240,16.5
5778,240,16.5
5781,240,16.6
5785,240,16.7
5789,239,16.7
5793,239,16.8
5797,239,16.9
5802,239,16.9
5807,239,17
5811,239,17.1
5815,238,17.1
5819,238,17.2
5823,238,17.3
5828,238,17.3
5832,238,17.4
5836,238,17.5
5840,238,17.5
5844,238,17.6
5849,238,17.7
5853,238,17.7
5858,238,17.8
5864,238,17.9
5871,238,17.9
5878,238,18
5884,238,18.1
5889,238,18.1
5893,238,18.2
5896,238,18.2
5899,238,18.3
5901,238,18.4
5904,238,18.4
5907,238,18.5
5910,238,18.5
5914,238,18.6
5917,238,18.7
5921,238,18.7
5924,237,18.8
5928,237,18.9
5932,237,19
5935,237,19
5939,236,19.1
5944,236,19.2
5949,236,19.3
5954,236,19.4
5959,235,19.5
5964,235,19.6
5970,235,19.7
5975,234,19.8
5981,234,19.9
5986,234,20
5990,234,20.1
5995,233,20.2
5999,233,20.3
6003,233,20.3
6006,233,20.4
6010,233,20.5
6013,233,20.6
6018,232,20.6
6023,232,20.7
6029,232,20.7
6034,232,20.8
6039,232,20.8
6043,232,20.8
6046,232,20.8
6048,232,20.8
6051,233,20.8
6054,233,20.8
6057,233,20.8
6060,233,20.8
6064,233,20.7
6067,233,20.7
6070,233,20.7
6074,233,20.6
6077,233,20.6
6080,233,20.5
6083,233,20.5
6086,233,20.5
6090,233,20.5
6093,233,20.5
6096,233,20.4
6100,233,20.4
6103,233,20.5
6106,233,20.5
